{Name},{UID},{Start Date},{End Date},{X URL},{Round},{Discord URL},{Initial IRIAM Followers},{Initial X Followers},{IRIAM Followers},{X Followers},{IRIAM Followers Diff},{X Followers Diff},{TotalLiveNumOver30Min},{TotalLiveHour},{TotalFirstTimeVisitorCount},{TotalSecondTimeVisitorCount},{TotalGrade1EarnerNum},{ReportNum}
shinythanh,9d45e94a-0024-4729-ba73-dde3d82d9b74,1/30/2026,2/26/2026,https://x.com/shinythanh,3,https://discord.com/channels/1420182000035434498/1465793571839021106,138,135,176,142,+38,+7,28,27.39,94,26,1,28
Wing,02c45c1d-9dcb-4c83-9eab-8fc4d15420bb,1/30/2026,2/26/2026,https://x.com/wingle64,3,https://discord.com/channels/1420182000035434498/1465419981847269386,390,150,422,172,+32,+22,25,25.90,99,37,15,28
yumi,ae65807b-8530-4f24-95f9-868ad74a6b0f,1/30/2026,2/26/2026,https://x.com/Melody_yumii_,3,https://discord.com/channels/1420182000035434498/1466507198116135005,231,112,266,134,+35,+22,27,31.38,83,23,3,23
Mixie Pheoborn,e8430ec7-4a10-4ce9-b0fd-2d969c855a9d,1/30/2026,2/26/2026,https://x.com/MixinMixie,3,https://discord.com/channels/1420182000035434498/1465497291228975106,176,521,200,541,+24,+20,31,29.55,74,14,2,22
Nessie O' Loch,5008a3d0-20d5-4d9a-ac84-8ff51540536d,1/30/2026,2/26/2026,https://x.com/nessieolochvt,3,https://discord.com/channels/1420182000035434498/1465420896541085919,306,229,347,247,+41,+18,26,31.82,98,21,5,23
Kimly stargazer,351c0b46-8d87-4a14-ae9e-77693b53d955,1/30/2026,2/26/2026,https://x.com/theweeb_kimly,3,https://discord.com/channels/1420182000035434498/1465451177276604489,253,115,302,118,+49,+3,29,40.88,113,53,5,26
Soul System,19cc3460-c37c-4e25-9c75-4c7496223a30,1/30/2026,2/26/2026,https://x.com/xthesoulsystemx,3,https://discord.com/channels/1420182000035434498/1465825441335214091,155,156,191,179,+36,+23,22,47.05,93,25,1,24
Orivyn Draemont,f3d1882b-8aff-4e3a-8fc0-61b366135c85,1/30/2026,2/26/2026,https://x.com/orivyndraemont,3,https://discord.com/channels/1420182000035434498/1465451819974004937,49,181,74,267,+25,+86,27,33.06,51,7,1,28
AMUKA,fb1900c7-9913-43ed-824d-dd82225cd529,1/30/2026,2/26/2026,https://x.com/VT_AMUKA,3,https://discord.com/channels/1420182000035434498/1465497436742090853,143,128,188,145,+45,+17,29,33.21,119,28,11,26
Kazura,390d6a75-b37d-40f9-bedb-3a141ea2fb61,1/30/2026,2/26/2026,https://x.com/_kazura_vt,3,https://discord.com/channels/1420182000035434498/1465451927537189183,272,209,423,254,+151,+45,27,44.48,268,78,31,24
Super Bandit,8921ad00-a8e7-4066-9e47-78b0e31e4a04,1/30/2026,2/26/2026,https://x.com/BanditFlanChan,3,https://discord.com/channels/1420182000035434498/1465421018431619289,213,96,301,126,+88,+30,46,49.57,181,57,11,23
Pavonini Wattana,b7da08de-8a72-4009-a1f2-f860a9410c92,1/30/2026,2/26/2026,https://x.com/PavoniniWattana,3,https://discord.com/channels/1420182000035434498/1465421322103554297,98,151,136,192,+38,+41,20,23.39,62,21,2,23
Maphesdus,2eb1a2e3-7e14-4629-bc90-3d5433e38a45,1/30/2026,2/26/2026,https://x.com/maphesdus,3,https://discord.com/channels/1420182000035434498/1465452043878793317,223,328,291,467,+68,+139,28,43.36,126,49,3,27
VigsirVT,84a27678-ef8b-477b-90d0-6d1d3e71a1d4,1/30/2026,2/26/2026,https://x.com/VigsirVT,3,https://discord.com/channels/1420182000035434498/1465420629246345410,82,35,185,133,+103,+98,28,45.61,213,46,7,28
Bijou Beauregard,bed56e4b-7d33-4a30-9856-7b15533ca498,1/30/2026,2/26/2026,https://x.com/bijoubeauregard,3,https://discord.com/channels/1420182000035434498/1465451461621055589,66,153,206,226,+140,+73,29,55.39,284,115,8,26
hoppiehoodie,df7b97d0-af7e-49e3-9ef3-0105a4c80e6e,1/30/2026,2/26/2026,https://x.com/hoppiehoodie,3,https://discord.com/channels/1420182000035434498/1465451683860451554,83,130,197,267,+114,+137,32,58.98,275,85,9,26
PantherMoon06,54cca53c-d39c-4892-aba8-f4a6ef27819a,1/30/2026,2/26/2026,https://x.com/PantherMoon06,3,https://discord.com/channels/1420182000035434498/1466130964945178817,102,51,142,60,+40,+9,28,47.00,107,36,7,28
